"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"156","404",32000,38990,-0.441930870002016,0.11320505606183,"aug",0,1,1691.84495230639,33691.8449523064,5298.15504769361
"157","41",32360,39170,-0.117568307458968,0.420950179138991,"aug",0,1,1770.52091601109,34130.5209160111,5039.4790839889
"158","413",31330,38780,-1.04560563917936,-0.245830920861527,"aug",0,1,1496.2112853053,32826.2112853053,5953.7887146947
"159","414",30800,38560,-1.52313941181218,-0.621963849066944,"aug",0,1,1238.0397902976,32038.0397902976,6521.9602097024
"160","415",30680,38510,-1.63126026599319,-0.707448605477274,"aug",0,1,1192.73270872199,31872.732708722,6637.26729127801
"161","416",31550,38740,-0.847384073180826,-0.314218725989783,"aug",0,1,1525.03438045818,33075.0343804582,5664.96561954181
"162","42",36900,40000,3.97300400905614,1.83999713555034,"aug",0,1,1830.00000000016,38730.0000000002,1269.99999999984
"163","43",32330,38500,-0.144598521004223,-0.724545556759335,"aug",0,1,1562.49542303605,33892.495423036,4607.50457696395
"164","438",32130,38900,-0.324799944639246,-0.0406675054767569,"aug",0,1,1660.62437744908,33790.6243774491,5109.37562255091
"165","44",32060,38160,-0.387870442911506,-1.30584190034953,"aug",0,1,1451.77852625948,33511.7785262595,4648.22147374052
"166","440",32000,39040,-0.441930870002016,0.198689812472147,"aug",0,1,1731.68704180061,33731.6870418006,5308.31295819939
"167","449",31460,38910,-0.928474713816588,-0.0235705541946958,"aug",0,1,1563.25716396863,33023.2571639686,5886.74283603137
"168","450",31340,38080,-1.03659556799761,-1.44261751060605,"aug",0,1,1176.94947955676,32516.9494795568,5563.05052044324
"169","451",31790,38150,-0.631142364818795,-1.3229388516316,"aug",0,1,1296.79765853622,33086.7976585362,5063.20234146379
"170","452",32740,38850,0.224814397447586,-0.126152261887075,"aug",0,1,1762.41633004806,34502.4163300481,4347.58366995194
"171","461",30560,37840,-1.73938112017421,-1.85294434137559,"aug",0,1,1001.1170206068,31561.1170206068,6278.8829793932
